 datid | datname |  pid  | usesysid | usename | application_name | client_addr | client_hostname | client_port |         backend_start         |          xact_start           |          query_start          |         state_change          | wait_event_type |     wait_event      |        state        | backend_xid | backend_xmin |                                       query                                       |    backend_type     
 16384 | vandat  | 20512 |       10 | tcn     |                  | ::1         |                 |       53138 | 2019-11-01 20:31:27.3214+08   | 2019-11-01 20:43:51.134375+08 | 2019-11-01 20:43:51.139267+08 | 2019-11-01 20:43:51.140044+08 | LWLock          | WALWriteLock         | idle in transaction |     5347331 |              | execute p_payment11_2(8,4,2594,8,4,4110,'name-ocxyq name-dztnw    ')          | client backend
 16384 | vandat  | 20513 |       10 | tcn     |                  | ::1         |                 |       53140 | 2019-11-01 20:31:27.321893+08 | 2019-11-01 20:43:51.071071+08 | 2019-11-01 20:43:51.071477+08 | 2019-11-01 20:43:51.071478+08 |                 |                      | active              |             |      5347074 | execute p_stocklevel2_4(87,2,3288,3268,87,17)                                 | client backend
 16384 | vandat  | 20514 |       10 | tcn     |                  | ::1         |                 |       53142 | 2019-11-01 20:31:27.322315+08 | 2019-11-01 20:43:51.13872+08  | 2019-11-01 20:43:51.139666+08 | 2019-11-01 20:43:51.139899+08 |                 |                      | idle in transaction |     5347341 |              | execute p_new_order3_8(3324,10,94)                                            | client backend
 16384 | vandat  | 20515 |       10 | tcn     |                  | ::1         |                 |       53144 | 2019-11-01 20:31:27.32302+08  | 2019-11-01 20:43:51.110093+08 | 2019-11-01 20:43:51.11059+08  | 2019-11-01 20:43:51.110591+08 | Lock            | transactionid        | active              |     5347285 |      5347074 | execute p_payment3_6(982,41,5)                                                | client backend
 16384 | vandat  | 20517 |       10 | tcn     |                  | ::1         |                 |       53148 | 2019-11-01 20:31:27.324393+08 | 2019-11-01 20:43:51.132077+08 | 2019-11-01 20:43:51.140737+08 | 2019-11-01 20:43:51.140739+08 |                 |                      | active              |     5347328 |      5347236 | execute p_new_order9_4(3295,1,16,1,33880,16,8,80,'aaaaaaaaaaaaaaaaaaaaaaaa')  | client backend
 16384 | vandat  | 20518 |       10 | tcn     |                  | ::1         |                 |       53150 | 2019-11-01 20:31:27.325157+08 | 2019-11-01 20:43:51.129307+08 | 2019-11-01 20:43:51.140817+08 | 2019-11-01 20:43:51.140818+08 |                 |                      | active              |     5347320 |      5347236 | execute p_delivery4_4(2,2413,2,28)                                            | client backend
 16384 | vandat  | 20516 |       10 | tcn     |                  | ::1         |                 |       53146 | 2019-11-01 20:31:27.324688+08 | 2019-11-01 20:43:51.131873+08 | 2019-11-01 20:43:51.132239+08 | 2019-11-01 20:43:51.13224+08  |                 |                      | active              |             |      5347118 | execute p_purge2_5(57,5,2427)                                                 | client backend
 16384 | vandat  | 20519 |       10 | tcn     |                  | ::1         |                 |       53152 | 2019-11-01 20:31:27.325674+08 | 2019-11-01 20:43:51.137753+08 | 2019-11-01 20:43:51.140816+08 | 2019-11-01 20:43:51.140818+08 |                 |                      | active              |     5347339 |      5347236 | execute p_new_order3_3(3308,8,48)                                             | client backend
 16384 | vandat  | 20520 |       10 | tcn     |                  | ::1         |                 |       53154 | 2019-11-01 20:31:27.326279+08 | 2019-11-01 20:43:51.112463+08 | 2019-11-01 20:43:51.140817+08 | 2019-11-01 20:43:51.140818+08 |                 |                      | active              |     5347292 |      5347236 | execute p_new_order7_3_08(51702,9)                                            | client backend
 16384 | vandat  | 20521 |       10 | tcn     |                  | ::1         |                 |       53156 | 2019-11-01 20:31:27.32774+08  | 2019-11-01 20:43:51.10724+08  | 2019-11-01 20:43:51.138421+08 | 2019-11-01 20:43:51.139017+08 |                 |                      | idle in transaction |     5347276 |              | execute p_new_order9_5(3338,4,26,7,39430,26,2,2,'eeeeeeeeeeeeeeeeeeeeeeee')   | client backend
 16384 | vandat  | 20522 |       10 | tcn     |                  | ::1         |                 |       53158 | 2019-11-01 20:31:27.328229+08 | 2019-11-01 20:43:51.045587+08 | 2019-11-01 20:43:51.045863+08 | 2019-11-01 20:43:51.045864+08 |                 |                      | active              |             |      5347054 | execute p_stocklevel2_4(1,7,3285,3265,1,17)                                   | client backend
 16384 | vandat  | 20523 |       10 | tcn     |                  | ::1         |                 |       53160 | 2019-11-01 20:31:27.327833+08 | 2019-11-01 20:43:51.086524+08 | 2019-11-01 20:43:51.139587+08 | 2019-11-01 20:43:51.140057+08 |                 |                      | idle in transaction |     5347247 |              | execute p_new_order9_4(3283,10,28,12,8578,28,9,82,'zzzzzzzzzzzzzzzzzzzzzzzz') | client backend
 16384 | vandat  | 20525 |       10 | tcn     |                  | ::1         |                 |       53164 | 2019-11-01 20:31:27.330726+08 | 2019-11-01 20:43:51.112963+08 | 2019-11-01 20:43:51.138575+08 | 2019-11-01 20:43:51.139301+08 |                 |                      | idle in transaction |     5347293 |              | execute p_new_order9_7(3292,7,48,6,35691,48,4,34,'zzzzzzzzzzzzzzzzzzzzzzzz')  | client backend
 16384 | vandat  | 20524 |       10 | tcn     |                  | ::1         |                 |       53162 | 2019-11-01 20:31:27.33076+08  | 2019-11-01 20:43:51.103786+08 | 2019-11-01 20:43:51.134184+08 | 2019-11-01 20:43:51.139852+08 |                 |                      | idle in transaction |     5347272 |              | execute p_delivery5_3(2403,4,59)                                              | client backend
 16384 | vandat  | 20526 |       10 | tcn     |                  | ::1         |                 |       53166 | 2019-11-01 20:31:27.332632+08 | 2019-11-01 20:43:51.134057+08 | 2019-11-01 20:43:51.140339+08 | 2019-11-01 20:43:51.140341+08 |                 |                      | active              |     5347330 |      5347236 | execute p_payment11_3(3,39,144,3,39,3057,'name-onugl name-rmkyg    ')         | client backend
 16384 | vandat  | 20528 |       10 | tcn     |                  | ::1         |                 |       53170 | 2019-11-01 20:31:27.334071+08 | 2019-11-01 20:43:51.119583+08 | 2019-11-01 20:43:51.119971+08 | 2019-11-01 20:43:51.119972+08 |                 |                      | active              |             |      5347074 | execute p_stocklevel2_7(50,10,3326,3306,50,10)                                | client backend
 16384 | vandat  | 20529 |       10 | tcn     |                  | ::1         |                 |       53172 | 2019-11-01 20:31:27.334566+08 | 2019-11-01 20:43:51.123512+08 | 2019-11-01 20:43:51.140816+08 | 2019-11-01 20:43:51.140818+08 |                 |                      | active              |     5347313 |      5347236 | execute p_new_order9_3(3300,3,13,4,14687,13,5,101,'eeeeeeeeeeeeeeeeeeeeeeee') | client backend
 16384 | vandat  | 20527 |       10 | tcn     |                  | ::1         |                 |       53168 | 2019-11-01 20:31:27.33363+08  | 2019-11-01 20:43:51.127691+08 | 2019-11-01 20:43:51.140409+08 | 2019-11-01 20:43:51.140564+08 |                 |                      | idle in transaction |     5347318 |              | execute p_new_order9_8(3306,5,30,2,88548,30,8,673,'bbbbbbbbbbbbbbbbbbbbbbbb') | client backend
 16384 | vandat  | 20531 |       10 | tcn     |                  | ::1         |                 |       53176 | 2019-11-01 20:31:27.336773+08 | 2019-11-01 20:43:51.13383+08  | 2019-11-01 20:43:51.139681+08 | 2019-11-01 20:43:51.139683+08 |                 |                      | active              |     5347329 |              | COMMIT                                                                        | client backend
 16384 | vandat  | 20530 |       10 | tcn     |                  | ::1         |                 |       53174 | 2019-11-01 20:31:27.336733+08 | 2019-11-01 20:43:51.132193+08 | 2019-11-01 20:43:51.134662+08 | 2019-11-01 20:43:51.134663+08 |                 |                      | active              |             |      5347234 | execute p_purge2_6(89,7,2402)                                                 | client backend
 16384 | vandat  | 20532 |       10 | tcn     |                  | ::1         |                 |       53178 | 2019-11-01 20:31:27.337939+08 | 2019-11-01 20:43:51.136583+08 | 2019-11-01 20:43:51.140104+08 | 2019-11-01 20:43:51.140106+08 |                 |                      | active              |     5347337 |      5347236 | execute p_new_order4_1(3312,4,48,1995,12,1)                                   | client backend
 16384 | vandat  | 20533 |       10 | tcn     |                  | ::1         |                 |       53180 | 2019-11-01 20:31:27.339019+08 | 2019-11-01 20:43:51.129992+08 | 2019-11-01 20:43:51.139785+08 | 2019-11-01 20:43:51.140167+08 | IO              | DataFileWrite        | idle in transaction |     5347325 |              | execute p_new_order7_4_07(26216,73)                                           | client backend
 16384 | vandat  | 20535 |       10 | tcn     |                  | ::1         |                 |       53184 | 2019-11-01 20:31:27.341529+08 | 2019-11-01 20:43:51.137489+08 | 2019-11-01 20:43:51.140714+08 | 2019-11-01 20:43:51.140946+08 |                 |                      | idle in transaction |     5347343 |              | execute p_new_order3_1(3271,6,81)                                             | client backend
 16384 | vandat  | 20534 |       10 | tcn     |                  | ::1         |                 |       53182 | 2019-11-01 20:31:27.341202+08 | 2019-11-01 20:43:51.084722+08 | 2019-11-01 20:43:51.138361+08 | 2019-11-01 20:43:51.138509+08 |                 |                      | idle in transaction |     5347243 |              | execute p_new_order8_2(63,2919,30)                                            | client backend
 16384 | vandat  | 20536 |       10 | tcn     |                  | ::1         |                 |       53186 | 2019-11-01 20:31:27.343433+08 | 2019-11-01 20:43:51.116052+08 | 2019-11-01 20:43:51.116308+08 | 2019-11-01 20:43:51.116309+08 |                 |                      | active              |             |      5347074 | execute p_stocklevel2_6(18,9,3324,3304,18,16)                                 | client backend
 16384 | vandat  | 20537 |       10 | tcn     |                  | ::1         |                 |       53188 | 2019-11-01 20:31:27.344833+08 | 2019-11-01 20:43:51.107753+08 | 2019-11-01 20:43:51.137898+08 | 2019-11-01 20:43:51.138292+08 |                 |                      | idle in transaction |     5347282 |              | execute p_new_order7_7_05(67455,15)                                           | client backend
 16384 | vandat  | 20538 |       10 | tcn     |                  | ::1         |                 |       53190 | 2019-11-01 20:31:27.345248+08 | 2019-11-01 20:43:51.136528+08 | 2019-11-01 20:43:51.139081+08 | 2019-11-01 20:43:51.139961+08 |                 |                      | idle in transaction |     5347335 |              | execute p_new_order4_3(3298,3,62,1847,6,1)                                    | client backend
 16384 | vandat  | 20539 |       10 | tcn     |                  | ::1         |                 |       53192 | 2019-11-01 20:31:27.347453+08 | 2019-11-01 20:43:51.087641+08 | 2019-11-01 20:43:51.140624+08 | 2019-11-01 20:43:51.140626+08 |                 |                      | active              |     5347253 |      5347236 | execute p_new_order9_8(3318,1,37,10,108,37,6,197,'qqqqqqqqqqqqqqqqqqqqqqqq')  | client backend
 16384 | vandat  | 20540 |       10 | tcn     |                  | ::1         |                 |       53194 | 2019-11-01 20:31:27.3481+08   | 2019-11-01 20:43:51.10721+08  | 2019-11-01 20:43:51.140513+08 | 2019-11-01 20:43:51.140939+08 |                 |                      | idle in transaction |     5347283 |              | execute p_new_order9_4(3294,10,1,6,15472,1,1,57,'pppppppppppppppppppppppp')   | client backend
 16384 | vandat  | 20541 |       10 | tcn     |                  | ::1         |                 |       53196 | 2019-11-01 20:31:27.34877+08  | 2019-11-01 20:43:51.095159+08 | 2019-11-01 20:43:51.139303+08 | 2019-11-01 20:43:51.139855+08 | IPC             | ProcArrayGroupUpdate | idle in transaction |     5347262 |              | execute p_new_order9_3(3306,1,99,13,26943,99,1,12,'aaaaaaaaaaaaaaaaaaaaaaaa') | client backend
 16384 | vandat  | 20542 |       10 | tcn     |                  | ::1         |                 |       53198 | 2019-11-01 20:31:27.351722+08 |                               | 2019-11-01 20:43:51.140882+08 | 2019-11-01 20:43:51.140982+08 | IO              | DataFileRead         | idle                |             |              | COMMIT                                                                        | client backend
